"RowNb","Project","Sample","Lane1","Lane2","Lane3","Lane4","Total","PC.RawPF","PC.DemuxPF"
"1","4490","Cseq1_Cynomolgous_Monkey_Mauritian_DK807","110218466","112209132","113755861","114088546","450272005","3.9420","4.2147"
"2","4490","Cseq2_Cynomolgous_Monkey_Mauritian_DK949"," 99331370","101383087","103991854","104529704","409236015","3.5827","3.8306"
"3","4490","Cseq3_Cynomolgous_Monkey_Mauritian_DL026","115680387","117507191","119992819","120537541","473717938","4.1472","4.4342"
"4","4490","Cseq4_Cynomolgous_Monkey_Mauritian_DK806","126897725","129010696","131207066","131826936","518942423","4.5431","4.8575"
"5","4490","Cseq5_Cynomolgous_Monkey_Mauritian_DK950","101485357","103320279","105126441","105490992","415423069","3.6369","3.8885"
"6","4490","Cseq6_Cynomolgous_Monkey_Mauritian_CJJ060"," 81352225"," 82952308"," 84403660"," 84758799","333466992","2.9194","3.1214"
"7","4490","Cseq7_Cynomolgous_Monkey_Mauritian_CJJ070","132381364","134657386","136518264","136803937","540360951","4.7307","5.0580"
"8","4490","Cseq8_Cynomolgous_Monkey_Mauritian_CJJ074"," 80092713"," 81979776"," 83728595"," 84141760","329942844","2.8885","3.0884"
"9","4490","Cseq9_Cynomolgous_Monkey_Mauritian_CJK088","160081471","162084841","164310883","164859644","651336839","5.7022","6.0967"
"10","4490","Cseq10_Cynomolgous_Monkey_Mauritian_CJK095","138169427","140096201","142028765","142536673","562831066","4.9274","5.2683"
"11","4490","Cseq11_Cynomolgous_Monkey_Vietnamese_880443137"," 87590590"," 89465213"," 91559625"," 92085981","360701409","3.1578","3.3763"
"12","4490","Cseq12_Cynomolgous_Monkey_Vietnamese_880926678"," 90502703"," 92379074"," 94301455"," 94722055","371905287","3.2559","3.4812"
"13","4490","Cseq13_Cynomolgous_Monkey_Vietnamese_881735638"," 97764161"," 99775820","101613085","101993484","401146550","3.5119","3.7549"
"14","4490","Cseq14_Cynomolgous_Monkey_Vietnamese_881940329","145068041","146900900","149381051","149981464","591331456","5.1769","5.5351"
"15","4490","Cseq15_Cynomolgous_Monkey_Vietnamese_887604734","146280556","148276585","150281079","150850505","595688725","5.2150","5.5758"
"16","4490","Cseq16_Cynomolgous_Monkey_Vietnamese_881932869","110959148","113055876","115582914","116133375","455731313","3.9898","4.2658"
"17","4490","Cseq17_Cynomolgous_Monkey_Vietnamese_883758809","112485871","114583896","116669255","117207316","460946338","4.0354","4.3146"
"18","4490","Cseq18_Cynomolgous_Monkey_Vietnamese__884671290"," 98225620","100060836","102110731","102605258","403002445","3.5281","3.7722"
"19","4490","Cseq19_Cynomolgous_Monkey_Vietnamese_885275614","147426198","149440874","151856020","152422992","601146084","5.2628","5.6269"
"20","4490","Cseq20_Cynomolgous_Monkey_Vietnamese_885884919","162369977","164206954","166535147","167129858","660241936","5.7802","6.1801"
"21","4490","Lseq1_Llama_Rikki_013","126564296","128916342","131370680","131983881","518835199","4.5422","4.8565"
"22","4490","Lseq2_Llama_Kiwi_016","140843129","143274739","146187947","146860950","577166765","5.0529","5.4025"
