"RowNb","Project","Sample","Lane1","Lane2","Lane3","Lane4","Total","PC.RawPF","PC.DemuxPF"
"1","4531","JDP012_cDNA"," 25617970"," 25501672"," 25670173"," 25633114","102422929","0.7825","0.8447"
"2","4531","JDP023_cDNA"," 26475603"," 26507674"," 26573802"," 26511111","106068190","0.8103","0.8748"
"3","4531","JDP024_cDNA"," 50673392"," 50478659"," 50670232"," 50799403","202621686","1.5479","1.6711"
"4","4531","JDP028_cDNA"," 21201615"," 21089720"," 20907858"," 21049743"," 84248936","0.6436","0.6948"
"5","4531","JDP029_cDNA"," 50038891"," 49743241"," 49591101"," 49708920","199082153","1.5209","1.6419"
"6","4531","JDP031_cDNA"," 76260650"," 76036365"," 76287355"," 76266018","304850388","2.3289","2.5142"
"7","4531","JDP033_cDNA"," 54329116"," 53900794"," 53929216"," 54010959","216170085","1.6514","1.7828"
"8","4531","JDP038_cDNA"," 35274390"," 35328162"," 35446489"," 35502582","141551623","1.0814","1.1674"
"9","4531","JDP039_cDNA"," 31243106"," 31119783"," 31378327"," 31289041","125030257","0.9552","1.0312"
"10","4531","JDP040_cDNA"," 39092507"," 38895794"," 39049260"," 39052583","156090144","1.1924","1.2873"
"11","4531","JDP041_cDNA","129984568","129588579","130186950","130202872","519962969","3.9722","4.2882"
"12","4531","JDP042_cDNA"," 45821125"," 45487870"," 45761395"," 45688103","182758493","1.3962","1.5072"
"13","4531","JDP043_cDNA"," 27212338"," 27240244"," 27376347"," 27400165","109229094","0.8345","0.9008"
"14","4531","JDP044_cDNA"," 55544948"," 55125179"," 55482628"," 55286307","221439062","1.6917","1.8263"
"15","4531","JDP045_cDNA","  5243497","  5230469","  5249879","  5247817"," 20971662","0.1602","0.1730"
"16","4531","RSA001_cDNA"," 59642635"," 59600313"," 59787335"," 59773769","238804052","1.8243","1.9695"
"17","4531","RSA002_cDNA"," 53633552"," 53594454"," 53651056"," 53895733","214774795","1.6408","1.7713"
"18","4531","RSA001_HTO_A"," 13531000"," 13688287"," 13606796"," 13492945"," 54319028","0.4150","0.4480"
"19","4531","RSA002_HTO_A"," 12785594"," 12730601"," 12555772"," 12499557"," 50571524","0.3863","0.4171"
"20","4531","RSA001_CMO"," 13505607"," 13650768"," 13391154"," 13525959"," 54073488","0.4131","0.4460"
"21","4531","RSA002_CMO"," 14613778"," 14837373"," 14406570"," 14630384"," 58488105","0.4468","0.4824"
"22","4531","LDD002_cDNA"," 38369465"," 38223201"," 38429819"," 38445801","153468286","1.1724","1.2657"
"23","4531","LDD003_cDNA"," 44263070"," 44112995"," 44448045"," 44458073","177282183","1.3543","1.4621"
"24","4531","LDD004_cDNA"," 46197997"," 46035719"," 46224017"," 46312747","184770480","1.4115","1.5238"
"25","4531","LDD005_cDNA"," 45449204"," 45395660"," 45632261"," 45645821","182122946","1.3913","1.5020"
"26","4531","LDD006_cDNA"," 38543895"," 38220525"," 38417776"," 38335807","153518003","1.1728","1.2661"
"27","4531","LDD007_cDNA"," 55465979"," 55258107"," 55587522"," 55600566","221912174","1.6953","1.8302"
"28","4531","LDD008_cDNA"," 36308719"," 36355106"," 36502638"," 36590183","145756646","1.1135","1.2021"
"29","4531","LDD009_cDNA"," 49583617"," 49502583"," 49454352"," 49653886","198194438","1.5141","1.6346"
"30","4531","LDD010_cDNA"," 45699962"," 45459467"," 45677241"," 45594078","182430748","1.3937","1.5045"
"31","4531","LDD011_cDNA"," 43805887"," 43793542"," 43928893"," 43975125","175503447","1.3408","1.4474"
"32","4531","LDD012_cDNA"," 57569556"," 57238086"," 57400860"," 57303738","229512240","1.7534","1.8928"
"33","4531","LDD013_cDNA"," 36589877"," 36511144"," 36628169"," 36612065","146341255","1.1180","1.2069"
"34","4531","LDD014_cDNA"," 35422523"," 35387573"," 35472629"," 35541141","141823866","1.0835","1.1697"
"35","4531","LDD015_cDNA"," 41261900"," 41089104"," 41663906"," 41574660","165589570","1.2650","1.3657"
"36","4531","LDD017_cDNA"," 50111867"," 49745067"," 50177024"," 50022329","200056287","1.5283","1.6499"
"37","4531","LDD018_cDNA"," 56070033"," 55816406"," 56455331"," 56256528","224598298","1.7158","1.8523"
"38","4531","LDD019_cDNA"," 47484942"," 47232657"," 47547105"," 47526358","189791062","1.4499","1.5652"
"39","4531","LDD021_cDNA"," 41705516"," 41477845"," 41673492"," 41606921","166463774","1.2717","1.3729"
"40","4531","LDD022_cDNA"," 38683591"," 38540429"," 38857505"," 38881194","154962719","1.1838","1.2780"
"41","4531","LDD023_cDNA"," 39901473"," 39770410"," 39703031"," 39768581","159143495","1.2158","1.3125"
"42","4531","LDD024_cDNA"," 36851922"," 36982176"," 37010105"," 37168908","148013111","1.1307","1.2207"
"43","4531","LDD025_cDNA"," 45572971"," 45336299"," 45623685"," 45497199","182030154","1.3906","1.5012"
"44","4531","NST001_cDNA"," 14175388"," 14118997"," 14178042"," 14191834"," 56664261","0.4329","0.4673"
"45","4531","FVB007_cDNA"," 24202838"," 24108495"," 24160020"," 24166415"," 96637768","0.7383","0.7970"
"46","4531","NDO006_cDNA"," 13714330"," 13689005"," 13731357"," 13772849"," 54907541","0.4195","0.4528"
"47","4531","NDO007_cDNA"," 23014745"," 22965246"," 23052961"," 23057437"," 92090389","0.7035","0.7595"
"48","4531","NDO008_cDNA"," 16851322"," 16754261"," 16817644"," 16776829"," 67200056","0.5134","0.5542"
"49","4531","NDO009_cDNA"," 14760362"," 14731006"," 14802432"," 14797405"," 59091205","0.4514","0.4873"
"50","4531","DCH001_cDNA"," 44954594"," 44809726"," 45244341"," 45154033","180162694","1.3763","1.4858"
"51","4531","DCH002_cDNA"," 53666846"," 53483217"," 53737278"," 53883419","214770760","1.6407","1.7713"
"52","4531","DCH003_cDNA"," 52109341"," 52034048"," 52234310"," 52280520","208658219","1.5940","1.7208"
"53","4531","DCH004_cDNA"," 60819894"," 60509087"," 60754438"," 60687239","242770658","1.8546","2.0022"
"54","4531","DCH005_cDNA"," 52103125"," 52015272"," 52305792"," 52340007","208764196","1.5948","1.7217"
"55","4531","DCH006_cDNA"," 52527252"," 52345683"," 52839627"," 52933908","210646470","1.6092","1.7372"
"56","4531","DCH007_cDNA"," 67217777"," 66951615"," 67275542"," 67244322","268689256","2.0526","2.2159"
"57","4531","DCH008_cDNA"," 56496974"," 56483631"," 56638489"," 56632193","226251287","1.7284","1.8659"
"58","4531","DCH001_HTO_A"," 11478025"," 11521262"," 11466889"," 11375698"," 45841874","0.3502","0.3781"
"59","4531","DCH002_HTO_A","  9583001","  9640149","  9570160","  9506309"," 38299619","0.2926","0.3159"
"60","4531","DCH003_HTO_A"," 10227253"," 10326144"," 10233256"," 10194041"," 40980694","0.3131","0.3380"
"61","4531","DCH004_HTO_A"," 13309849"," 13220100"," 13212320"," 13085033"," 52827302","0.4036","0.4357"
"62","4531","DCH005_HTO_A"," 11733374"," 11924334"," 11754805"," 11740835"," 47153348","0.3602","0.3889"
"63","4531","DCH006_HTO_A","  8905703","  8899806","  8847213","  8744631"," 35397353","0.2704","0.2919"
"64","4531","DCH007_HTO_A","  9082748","  9105028","  9010241","  8947933"," 36145950","0.2761","0.2981"
"65","4531","DCH008_HTO_A","  8943048","  8959606","  8922386","  8876006"," 35701046","0.2727","0.2944"
"66","4531","DCH001_CMO"," 21508238"," 21663789"," 21213567"," 21419457"," 85805051","0.6555","0.7077"
"67","4531","DCH002_CMO"," 16129619"," 16326612"," 15925993"," 16177735"," 64559959","0.4932","0.5324"
"68","4531","DCH003_CMO"," 24235598"," 24642009"," 23927672"," 24248626"," 97053905","0.7414","0.8004"
"69","4531","DCH004_CMO"," 22720212"," 22979682"," 22398665"," 22746532"," 90845091","0.6940","0.7492"
"70","4531","DCH005_CMO"," 12041723"," 12163793"," 11900279"," 11987380"," 48093175","0.3674","0.3966"
"71","4531","DCH006_CMO"," 15279136"," 15449726"," 15070375"," 15251118"," 61050355","0.4664","0.5035"
"72","4531","DCH007_CMO"," 20196318"," 20492593"," 19984885"," 20345619"," 81019415","0.6189","0.6682"
"73","4531","DCH008_CMO"," 23169135"," 23166784"," 22848675"," 22826603"," 92011197","0.7029","0.7588"
"74","4531","GDE080_cDNA","  8591749","  8586738","  8628898","  8632216"," 34439601","0.2631","0.2840"
"75","4531","GDE081_cDNA","  8617307","  8602158","  8634383","  8667768"," 34521616","0.2637","0.2847"
"76","4531","GDE082_cDNA"," 10664164"," 10662571"," 10718214"," 10744301"," 42789250","0.3269","0.3529"
"77","4531","GDE083_cDNA","  8754547","  8731003","  8776151","  8790596"," 35052297","0.2678","0.2891"
"78","4531","GDE084_cDNA"," 19405002"," 19289901"," 19328844"," 19417331"," 77441078","0.5916","0.6387"
"79","4531","GDE085_cDNA","  5508880","  5507100","  5561458","  5555387"," 22132825","0.1691","0.1825"
"80","4531","GDE086_cDNA","  9443423","  9397838","  9508175","  9507496"," 37856932","0.2892","0.3122"
"81","4531","GDE087_cDNA"," 10401453"," 10347665"," 10388500"," 10392322"," 41529940","0.3173","0.3425"
"82","4531","GDE088_cDNA"," 12794812"," 12718581"," 12764380"," 12821470"," 51099243","0.3904","0.4214"
"83","4531","GDE089_cDNA"," 14036983"," 14009901"," 14076126"," 14154579"," 56277589","0.4299","0.4641"
"84","4531","GDE090_cDNA"," 11505430"," 11487360"," 11504640"," 11542558"," 46039988","0.3517","0.3797"
"85","4531","GDE091_cDNA"," 13405757"," 13418337"," 13470592"," 13498391"," 53793077","0.4110","0.4436"
"86","4531","GDE092_cDNA","  9406804","  9413992","  9434321","  9472662"," 37727779","0.2882","0.3111"
"87","4531","GDE093_cDNA","  9383430","  9400616","  9436205","  9516666"," 37736917","0.2883","0.3112"
"88","4531","GDE094_cDNA","  5448215","  5448530","  5478130","  5488891"," 21863766","0.1670","0.1803"
"89","4531","GDE095_cDNA","  8945133","  8942908","  8978102","  9000804"," 35866947","0.2740","0.2958"
"90","4531","GDE096_cDNA","  9058717","  9000734","  9015411","  9041642"," 36116504","0.2759","0.2979"
"91","4531","GDE097_cDNA"," 10254555"," 10211620"," 10233799"," 10268828"," 40968802","0.3130","0.3379"
"92","4531","GDE098_cDNA","  9940689","  9906067","  9968128","  9961275"," 39776159","0.3039","0.3280"
"93","4531","GDE099_cDNA","  9155554","  9124739","  9169145","  9190520"," 36639958","0.2799","0.3022"
"94","4531","GDE100_cDNA","  9376065","  9299010","  9407058","  9403972"," 37486105","0.2864","0.3092"
"95","4531","GDE101_cDNA","  9188623","  9213269","  9297960","  9315893"," 37015745","0.2828","0.3053"
"96","4531","GDE102_cDNA","  4252421","  4249573","  4268460","  4274467"," 17044921","0.1302","0.1406"
"97","4531","GDE103_cDNA","  5937337","  5934988","  5972451","  5965914"," 23810690","0.1819","0.1964"
"98","4531","GDE104_cDNA","  8095902","  8086776","  8106257","  8131824"," 32420759","0.2477","0.2674"
"99","4531","GDE105_cDNA","  6252876","  6241309","  6284383","  6296208"," 25074776","0.1916","0.2068"
"100","4531","GDE106_cDNA","  8736185","  8733778","  8754133","  8788360"," 35012456","0.2675","0.2888"
"101","4531","GDE107_cDNA"," 10762675"," 10734268"," 10813748"," 10819579"," 43130270","0.3295","0.3557"
"102","4531","GDE108_cDNA"," 11761635"," 11703690"," 11790910"," 11795870"," 47052105","0.3595","0.3880"
"103","4531","GDE109_cDNA","  8801026","  8788617","  8846030","  8862206"," 35297879","0.2697","0.2911"
"104","4531","GDE110_cDNA","  1161771","  1162577","  1168477","  1173117","  4665942","0.0356","0.0385"
"105","4531","EGR008_cDNA"," 31941419"," 32147002"," 32143172"," 31891623","128123216","0.9788","1.0567"
"106","4531","EGR009_cDNA","113177472","113761721","113284092","112370240","452593525","3.4576","3.7326"
